Number,Last Updated,SEC Number,Topics,Context,Question,Answer
19b-4,Jan. 2013,SEC1832,Self-Regulatory Organizations,are not security forwards; (ii) why the proposed rule change cannot achieve this goal unless it takes effect immediately; (iii) the nature and the extent of the effect upon the relevant markets if the proposed rule change were not implemented immediately; (iv) whether the proposed rule change is temporary or permanent; (v) how the proposed rule change significantly affects any securities clearing operations of the clearing agency or any ri ghts or obligations of the clearing ,(i) what securities clearing operations does the proposed rule change significantly affect?,The proposed rule change significantly affects the securities clearing operations of the clearing agency.
19b-4,Jan. 2013,SEC1832,Self-Regulatory Organizations,"organization that (A) does not significantly affect the protection of investors or the public interest; (B) does not impose any significant burden on competition; and (C) does not have the effect of limiting the access to or availability of the system, or  ",What is the organization that does not significantly affect the protection of investors or the public interest?,The organization is not significantly affecting the protection of investors or the public interest.
19b-4,Jan. 2013,SEC1832,Self-Regulatory Organizations,"of its intent to file the proposed rule change, along with a brief description and text of the proposed rule change, at least five business days prior to the date of filing of the proposed rule change, or such shorter time as designated by the Commission.  If it is requested that the proposed rule change become operative in less than 30 days, provide a statement explaining why the Commission should shorten this time period.  ",Why might the Commission shorten the time period for a proposed rule change to become operative?,"If it is requested that the proposed rule change become operative in less than 30 days, the Commission might shorten the time period because the requestor has provided a statement explaining why the shorter time period is necessary."
19b-4,Jan. 2013,SEC1832,Self-Regulatory Organizations,"the Commission should, in the view of the self-regulatory organization, determine that the protection of investors, the maintenance of fair and orderly markets, or the safeguarding of securities and funds requires that the proposed rule change should be put into effect summarily by the Commission.  ",What does the self-regulatory organization think the Commission should do about the proposed rule change?,The self-regulatory organization thinks the Commission should put the proposed rule change into effect summarily.
19b-4,Jan. 2013,SEC1832,Self-Regulatory Organizations,"effect upon filing pursuant to Section 19(b)(3)(A) of the Act or was put into effect summarily by the Commission pursuant to Section 19(b)(3)(B) of the Act.  In exercising its summary power under Section 19(b)(3)(B), the Commission is required to make one of the findings described above but may not have a full opportunity to make a determination that the proposed rule change otherwise is consistent with the requirements of the Act and the rules and regulations thereunder.  The Commission will generally exercise its summary power under Section 19(b)(3)(B) on condition that the proposed rule change to be declared effective summarily shall also be subject to the filing procedures of Section 19(b)(1) of the Act, for approval pursuant to Section 19(b)(2).  Accordingly, in most cases, a summary order under Section 19(b)(3)(B) shall be effective until ",What finding does the Commission need to make in order to exercise its summary power under Section 19(b)(3)(B)?,One of the findings described in the text.
19b-4,Jan. 2013,SEC1832,Self-Regulatory Organizations,"such time as the Commission enters an order, pursuant to Section 19(b)(2)(A) of the Exchange Act, to approve such proposed rule change or, depending on the circumstances, until such time as the Commission summarily temporarily suspends the rule change pursuant to Section 19(b)(3)(C) or, alternatively, until such time as the Commission, at the conclusion of proceedings to determine whether to approve or disapprove the proposed rule change, enters an order, pursuant to Section 19(b)(2)(B), approving or disapproving such proposed rule change.  Similarly, the Commission requires that any proposed rule change which has taken effect upon filing pursuant to paragraph (B)(II) of Rule 19b- 4(f)(4)(ii) shall also be subject to the filing ",What are the consequences of a proposed rule change taking effect upon filing pursuant to paragraph (B)(II) of Rule 19b- 4(f)(4)(ii)?,"If a proposed rule change takes effect upon filing pursuant to paragraph (B)(II) of Rule 19b- 4(f)(4)(ii), it will be subject to the same consequences as if the Commission had approved the rule change. This includes the possibility of the Commission summarily suspending the rule change pursuant to Section 19(b)(3)(C) or, at the conclusion of proceedings to determine whether to approve or disapprove the rule change, approving or disapproving the proposed rule change"
19b-4,Jan. 2013,SEC1832,Self-Regulatory Organizations,"order, pursuant to Section 19(b)(2)(A) of the Exchange Act, to approve such proposed rule change or, depending on the circumstances, until such time as the Commission summarily temporarily suspends the rule change pursuant to Section 19(b)(3)(C) or, alternatively, until such time as the Commission, at the conclusion of proceedings to determine whether to approve or disapprove the proposed rule change, enters an order, pursuant to Section 19(b)(2)(B), approving or disapproving such proposed rule cha nge. ",Why might the Commission summarily temporarily suspend the rule change?,The Commission may summarily temporarily suspend the rule change if it believes the change poses a risk to the markets.
19b-4,Jan. 2013,SEC1832,Self-Regulatory Organizations,"understands it. In explaining any such differences, give particular attention to differences between the conduct required to comply with the proposed rule change and that required to comply with the other rule. 9.  Security -Based Swap Submissions Filed Pursuant to Section 3C of the Act ",What is the difference between the conduct required to comply with the proposed rule change and that required to comply with the other rule?,"The conduct required to comply with the proposed rule change is different from that required to comply with the other rule in that it specifically pertains to security-based swaps. In order to comply with the proposed rule change, firms must submit data regarding security-based swaps to the SEC, whereas the other rule does not specifically mention security-based swaps."
19b-4,Jan. 2013,SEC1832,Self-Regulatory Organizations,"data could address pricing sources, models and procedures demonstrating an ability to obtain price data to measure credit exposures in a timely and accurate manner, as well as measures of historical market liquidity and trading activity, and expected market liquidity and trading activity if the security -based swap is required to be cleared (including information on the sources of such ",What are some of the data that could be used to measure credit exposures in a security-based swap?,"Data that could be used to measure credit exposures in a security-based swap include pricing sources, models and procedures demonstrating an ability to obtain price data, measures of historical market liquidity and trading activity, and expected market liquidity and trading activity if the security-based swap is required to be cleared."
19b-4,Jan. 2013,SEC1832,Self-Regulatory Organizations,"discussion of credit support infrastructure specified in Item 9(b)(ii)(B) above could include the methods to address and communicate requests for, and posting of, collateral.  With respect to the factor specified in Item 9(b)(ii)(C) above, the discussion of systemic risk could include a ",What role does collateral play in the credit support infrastructure?,Collateral helps to reduce systemic risk by providing a cushion against potential losses.
19b-4,Jan. 2013,SEC1832,Self-Regulatory Organizations,"procedures.  With respect to the factor specified in Item 9(b)(ii)(D) above, the discussion of fees and charges could address any volume incentive programs that may apply or impact the fees and charges.  With respect to the factor specified in Item 9(b)(ii)(E) above, the discussion of legal certainty in the event of an insolvency could address segregation of accounts and all other customer protection measures under insolvency. ",What types of customer protection measures does the text discuss?,The text discusses segregation of accounts and all other customer protection measures under insolvency.
19b-4,Jan. 2013,SEC1832,Self-Regulatory Organizations,"implementing the change.  In addition to the information required for advance notices, the notice of an emergency change shall include a description of the nature of the emergency and the reason the change was necessary for the designated clearing agency to continue to operate in a safe and sound manner. Any change implemented by a designated clearing agency on an emergency basis also must  comply with Section 19(b) and Section 3C of the Act to the extent those sections are appli cable.  ",What information must be included in a notice of an emergency change?,The notice of an emergency change must include a description of the nature of the emergency and the reason the change was necessary for the designated clearing agency to continue to operate in a safe and sound manner.
19b-4,Jan. 2013,SEC1832,Self-Regulatory Organizations,"submission, or advance notice received by the self-regulatory organization (whether or not comments were solicited), presented in alphabetical order, together with an alphabetical listing of such comments.  If such notices and comments cannot be filed electronically in accordance with Instruction F, the notices and comments shall be filed in accordance with Instruction G. ",What are the filing requirements for notices and comments if they cannot be filed electronically?,"If such notices and comments cannot be filed electronically in accordance with Instruction F, the notices and comments shall be filed in accordance with Instruction G."
19b-4,Jan. 2013,SEC1832,Self-Regulatory Organizations,"submission, or advance notice made at such meeting.  If such transcript of comments or summary of comments cannot be filed electronically in accordance with Instruction F, the transcript of comments or summary of comments shall be filed in accordance with Instruction G.  ",How many days after a meeting must a summary of comments be filed?,"If a transcript of comments or summary of comments cannot be filed electronically in accordance with Instruction F, the transcript of comments or summary of comments shall be filed in accordance with Instruction G."
19b-4,Jan. 2013,SEC1832,Self-Regulatory Organizations,"For example, all references to the federal securities laws must include the corresponding cite to the United States Code in a footnote.  All references to SEC rules must include the corresponding cite to the Code of Federal Regulations in a footnote.  All references to Securities Exchange Act Releases must include the release number, release date, F ederal  Register  cite, ",What is the corresponding cite to the Code of Federal Regulations for SEC rules?,The corresponding cite to the Code of Federal Regulations for SEC rules is 17 CFR Parts 200-299.
19b-4,Jan. 2013,SEC1832,Self-Regulatory Organizations,"top, bottom, and right hand side, and a 1 1/2 inch margin at the left hand side.  Number all pages consecutively, consistent with Rule 0-3 under the Act (17 CFR 240.0-3).  Double space all primary text and single space lists of items, quoted material when set apart from primary text, footnotes, and notes to tables. B.  Need for Careful Preparation of the Notice  ",What is the required margin for pages in a notice filed with the SEC?,The required margin for pages in a notice filed with the SEC is 1 1/2 inches at the left hand side.
19b-4,Jan. 2013,SEC1832,Self-Regulatory Organizations,"organization to prepare Items I, II and III of the notice.  The Commission cautions self-regulatory organizations to pay particular attention to assure that the notice accurately reflects the information provided in the Form 19b-4 it accompanies.  Any filing that does not comply with the requirements of Form 19b-4, includin g the requirements applicable to the notice, may be ",What is the purpose of the notice mentioned in the text?,The notice is intended to inform potential investors about the details of a security that is being offered for sale.
19b-4,Jan. 2013,SEC1832,Self-Regulatory Organizations,"forth in sections A, B, and C below, of the most significant aspects of such statements.  (Reproduce the headings, and summarize briefly the most significant aspects of the responses, to Items 3, 4, and 5 of Form 19b-4, redesignating them as A, B, and C, respectively.)  ",What are the most significant aspects of Form 19b-4?,"Section A: 
The most significant aspect of Form 19b-4 is that it allows the registrant to provide information about the terms of the offering, the use of proceeds, and the dilution.

Section B: 
The most significant aspect of Form 19b-4 is that it allows the registrant to provide information about the underwriter, the compensation arrangements, and the Lock-Up Agreement.

Section C: 
The most significant aspect of Form"
19b-4,Jan. 2013,SEC1832,Self-Regulatory Organizations,"it appears to the Commission that such action is necessary or appropriate in the public interest, for the protection of investors, or otherwise in furtherance of the purposes of the Act.   (If the proposed rule change is to be considered by the Commission pursuant to ",What are the possible reasons for the proposed rule change?,"The possible reasons for the proposed rule change are in the public interest, for the protection of investors, or otherwise in furtherance of the purposes of the Act."
19b-4,Jan. 2013,SEC1832,Self-Regulatory Organizations,"are filed with the Commission, and all written communications relating to the proposed rule change between the Commission and any person, other than those that may be withheld from the public in accordance with the provisions of 5 U.S.C. 552, will be available for website viewing and printing in the Commission’s Public Reference Room, 100 F Street, NE, Washington, DC  20549 on official business days between the hours of 10:00 am and 3:00 pm.  Copies of the filing also will be available for in spection and copying at the principal office of the [self -regulatory ",What time will the filings be available for inspection and copying at the principal office of the self-regulatory organization?,10:00 am - 3:00 pm
19b-4,Jan. 2013,SEC1832,Self-Regulatory Organizations,"For example, all references to the federal securities laws must include the corresponding cite to the United States Code in a footnote.  All references to SEC rules must include the corresponding cite to the Code of Federal Regulations in a footnote.  All references to Securities Exchange Act Releases must include the release number, release date, Federal  Register  cite, ",What is the proper way to reference SEC rules in a footnote?,All references to SEC rules must include the corresponding cite to the Code of Federal Regulations in a footnote.
19b-4,Jan. 2013,SEC1832,Self-Regulatory Organizations,"separate statement need not be prepared, and the text of the proposed rule change may be inserted in lieu of the statement of the terms of substance.  If the proposed rule change amends an existing rule, indi cate changes in the rule by brackets for words to be deleted and underlined ",How would you show changes in an existing rule if you were amending it?,You would show changes in an existing rule by brackets for words to be deleted and underlined.
19b-4,Jan. 2013,SEC1832,Self-Regulatory Organizations,"submission, or advance notice.  The text of these statements may be examined at the places specified in Item IV below.  The clearing agency has prepared summaries, set forth in sections A, B, and C below, of the most significant aspects  of such statements.  (Reproduce the headings, ",What are the three sections of the clearing agency's summaries?,"A, B, and C"
19b-4,Jan. 2013,SEC1832,Self-Regulatory Organizations,"such longer period (i) as the Commission may designate up to 90 days of such date if it finds such longer period to be appropriate and publishes its reasons for so finding or (ii) as to which the self -regulatory organization consents, the Commission will:  ",WHO may designate a longer period than 90 days?,The Commission may designate a longer period than 90 days.
19b-4,Jan. 2013,SEC1832,Self-Regulatory Organizations,"making its determination that the clearing requirement shall apply, the Commission may include such terms and conditions to the requirement as the Commission determines to be appropriate in the public interest.   The clearing agency shall post notice on its website of any clearing requirement that is ",What are some possible terms and conditions that the Commission might include in a clearing requirement?,"Some possible terms and conditions that the Commission might include in a clearing requirement are a minimum size for trades, a certain percentage of trades that must be cleared, or a time frame in which trades must be cleared."
19b-4,Jan. 2013,SEC1832,Self-Regulatory Organizations,"viewing and printing in the Commission’s Public Reference Room, 100 F Street, NE, Washington, DC 20549 on official business days between the hours of 10:00 am and 3:00 pm.  Copies of the filing also will be available for inspection and copying at the principal office of the [clearing agency]. All comments received will be posted without change; the Commission does not edit personal identifying information from submissions.  You should submit only informat ion ",How can I view and print the filing mentioned in the text?,"The filing can be viewed and printed in the Commission’s Public Reference Room at 100 F Street, NE, Washington, DC 20549 on official business days between the hours of 10:00 am and 3:00 pm."
19b-4(e),July 2013,SEC2449,Self-Regulatory Organizations,"3. Class of New Derivative Securities Product:4. Name of Underlying Instrument:5. If Underlying Instrument is an Index, State Whether it is Broad-Based or Narrow-Based:6. Ticker Symbol(s) of New Derivative Securities Product:7. Market or Markets Upon Which Securities Comprising Underlying Instrument Trades:8. Settlement Methodology of New Derivative Securities Product:9. Position Limits of New Derivative Securities Product (if applicable):",What is the Class of New Derivative Securities Product?,3. Class of New Derivative Securities Product: The class of new derivative securities product is Index Futures.
19b-4(e),July 2013,SEC2449,Self-Regulatory Organizations,"Fifth Street, N.W., Washington, D.C.  20549. The SRO must keep an exact copy of the filing for its records. All copies must be legible. The filing date of any Form 19b-4(e) is the date of its actual receipt by the SEC, provided that the filing complies with applicable requirements. ",What is the filing date of any Form 19b-4(e)?,"The filing date of any Form 19b-4(e) is the date of its actual receipt by the SEC, provided that the filing complies with applicable requirements."
19b-4(e),July 2013,SEC2449,Self-Regulatory Organizations,"displays a currently valid control number.  Sections 3(a)(26), 3(a)(27), 3(a)(28), 3(b), 19(b), 23(a) and 36(a) of the Securities Exchange Act of 1934 authorize the Commission to collect information on Form 19b-4(e) from SROs.  See 15 U.S.C. §§78c(a)(26), 78c(a)(27), 78c(a)(28), 78c(b), 78s(b), 78w(a), 78mm(a). ",What is the purpose of the control number on Form 19b-4(e)?,The control number is used by the Securities and Exchange Commission to track the form.
19b-7,July 2007,SEC2450,Self-Regulatory Organizations,"in the Federal Register, as well as any requirements for electronic filing as published by the Commission (if applicable).  The Office of the Federal Register (OFR) offers guidance on Federal Register publication requirements in the Federal Register Document Drafting Handbook, October 1998 Revision.  For example, all references to the federal securities laws must include the corresponding cite to the United States Code in a footnote.  All references to SEC and CFTC rules must include the corresponding cite to the Code of Federal Regul ations in a footnote.  All references to ","What is the Document Drafting Handbook, and what does it contain?","The Document Drafting Handbook is a guide published by the Office of the Federal Register that contains requirements and guidelines for Federal Register publication. For example, it contains instructions on how to properly cite SEC and CFTC rules in a footnote."
19b-7,July 2007,SEC2450,Self-Regulatory Organizations,"proposes to use to help implement or operate the proposed rule change, or that is referred to by the proposed rule change.  If such documents cannot be filed electronically in accordance with Instruction E, they shall be filed in accordance with Instruction F. Exhibit 3 - Form, Report, or Questionnaire ",What is the proposed rule change?,The proposed rule change is a change to the instruction for filing certain documents electronically.
19b-7,July 2007,SEC2450,Self-Regulatory Organizations,the application of such other rule.  Include the file numbers for prior filings with respect to any existing rule specified.] 2. Statutory Basis [Explain why the proposed rule change is consistent with the requirements of the Act and the rules and regulations ther eunder applicable to the se lf-regulatory organization.  A ,What is the statutory basis for the proposed rule change?,The proposed rule change is consistent with the requirements of the Act and the rules and regulations thereof applicable to the self-regulatory organization.
20-F,Sept. 2021,SEC1852,"Securities Exchange Act of 1934, Public Companies, International", Indicate by check mark whether the registrant has submitted electronically every Interactive Data File required to be submitted pursuant to Rule 405 of Regulation S-T (§232.405 of this chapter) during the preceding 12 months (or for such shorter period that the registrant was required to submit such ﬁ les).,Does the registrant check mark that they have submitted all the required Interactive Data Files in the last 12 months?,Yes
20-F,Sept. 2021,SEC1852,"Securities Exchange Act of 1934, Public Companies, International",a registration statement under Section 12 of the Securities Exchange Act of 1934 (referred to as the  Exchange Act) or as an annual or transition report ﬁ led under Section 13(a) or 15(d) of the Exchange Act. A transition report is ﬁ led ,What is a transition report?,A transition report is a report filed under Section 13(a) or 15(d) of the Exchange Act.
20-F,Sept. 2021,SEC1852,"Securities Exchange Act of 1934, Public Companies, International","       relating to an Exchange Act registration statement of all classes of the registrant’s securities subject to the         reporting requirements of Section 13 (15 U.S.C. 78m) or Section 15(d) (15 U.S.C. 78o(d)) of such Act upon               consummation of the transaction, with such information re ﬂ ecting the registrant and its securities upon   ",What is the information in the text relating to?,The text is relating to a registration statement of all classes of the registrant's securities subject to the reporting requirements of Section 13 or Section 15(d) of the Exchange Act.
20-F,Sept. 2021,SEC1852,"Securities Exchange Act of 1934, Public Companies, International","about matters such as the kind and size of paper to be used, the legibility of the registration statement or report, the information to give in response to a requirement to state the title of securities, the language to be used and the ﬁ ling ",What does the text say about the size of paper to be used?,The size of paper to be used is not mentioned in the text.
20-F,Sept. 2021,SEC1852,"Securities Exchange Act of 1934, Public Companies, International","(c) In addition to the de ﬁ nitions in the General Rules and Regulations under the Securities Act and the de ﬁ nitions in 4Rule 12b-2 under the Exchange Act, General Instruction F de ﬁ nes certain terms for purposes of this Form.",What are the General Instructions for Form 10-K?,The General Instructions for Form 10-K detail certain terms for the purpose of the form.
20-F,Sept. 2021,SEC1852,"Securities Exchange Act of 1934, Public Companies, International","statement or annual report. General Instruction E states which items must be responded to in a registration statement and which items must be responded to in an annual report. The registration statement or report must contain the numbers and captions of all items. You may omit the text following each caption in this Form, which describes what must be disclosed under each item. Omit the text of all instructions in this Form. If an item is inapplicable or the answer to the item is in the negative, respond to the item by making a statement to that e ﬀ ect.","What items must be responded to in an annual report, according to General Instruction E?",All items must be responded to in an annual report.
20-F,Sept. 2021,SEC1852,"Securities Exchange Act of 1934, Public Companies, International","Gathering and Retrieval System (EDGAR) in accordance with the EDGAR rules set forth in Regulation S-T (17 CFR part 232). The Form 20-F registration statement or annual report must be in the English language as required by Regulation S-T Rule 306 (17 CFR 232.306). You must provide the signatures required for the Form 20-F registration statement or annual report in accordance with Regulation S-T Rule 302 (17 CFR 232.302). If you have EDGAR questions, call the Filer Support O ﬃ  ce at (202) 551-8900.",How can I file my Form 20-F registration statement or annual report?,"You must provide the signatures required for the Form 20-F registration statement or annual report in accordance with Regulation S-T Rule 302 (17 CFR 232.302). If you have EDGAR questions, call the Filer Support Oﬃce at (202) 551-8900."
20-F,Sept. 2021,SEC1852,"Securities Exchange Act of 1934, Public Companies, International","on which any class of securities is or will be registered. When submitting the Form 20-F in paper, you must sign at least one complete copy of the registration statement or report ﬁ led with the Commission and one copy ﬁ led with ",What happens if you file the Form 20-F in paper?,You must sign at least one complete copy of the registration statement or report ﬁ led with the Commission and one copy ﬁ led with the EDGAR Filing Website.
20-F,Sept. 2021,SEC1852,"Securities Exchange Act of 1934, Public Companies, International","each exchange in accordance with Exchange Act Rule 12b-11(d) (17 CFR 12b-11(d)). You must conform the unsigned copies when submitting the Form 20-F registration statement or report in paper. When submitting the Form 20-F in electronic format to the Commission, you may submit a paper copy containing typed signatures to each United States stock exchange in accordance with Regulation S-T Rule 302(c) (17 CFR 302(c)). See also Exchange Act Rule 12b-12(d) and Form 20-F’s Instructions as to Exhibits for requirements concerning use of the English language and treatment of foreign language documents.",How do you submit a Form 20-F in electronic format to the Commission?,You may submit a Form 20-F in electronic format to the Commission by following the requirements in Regulation S-T Rule 302(c).
20-F,Sept. 2021,SEC1852,"Securities Exchange Act of 1934, Public Companies, International","sending or delivering them to our File Desk between the hours of 9:00 a.m. and 5:30 p.m., Washington, D.C. time. The File Desk is closed on weekends and federal holidays. If you ﬁ le a paper registration statement or report by mail ",What are the hours that the File Desk is open?,"The File Desk is open from 9am to 5:30pm, Washington D.C. time."
20-F,Sept. 2021,SEC1852,"Securities Exchange Act of 1934, Public Companies, International","instructions to each item carefully before responding to the item. In some cases, the instructions may permit you to omit some of the information speci ﬁ ed in certain items in Part I. The instructions also may permit you to omit certain ",In what cases are you permitted to omit information in Part I?,The instructions permit you to omit some of the information in Part I in some cases.
20-F,Sept. 2021,SEC1852,"Securities Exchange Act of 1934, Public Companies, International"," Bene ﬁ cial owner  - The term “bene ﬁ cial owner” of securities refers to any person who, even if not the record owner of the 6securities, has or shares the underlying bene ﬁ ts of ownership. These bene ﬁ ts include the power to direct the voting or the ","What is the definition of ""beneficial owner"" of securities?","The beneficial owner of securities is any person who, even if not the record owner of the securities, has or shares the underlying benefits of ownership. These benefits include the power to direct the voting or the disposition of the securities."
20-F,Sept. 2021,SEC1852,"Securities Exchange Act of 1934, Public Companies, International","supervisory or management bodies, (c) partners with unlimited liability, in the case of a limited partnership with share capital, (d) nominees to serve in any of the aforementioned positions, and (e) founders, if the company has been established for fewer than ﬁ ve years. The persons covered by the term “administrative, supervisory or management bodies” vary in ","What positions are considered ""administrative, supervisory or management bodies"" for the purpose of this text?","The positions of ""administrative, supervisory or management bodies"" include supervisory or management bodies, partners with unlimited liability, nominees to serve in any of the aforementioned positions, and founders."
20-F,Sept. 2021,SEC1852,"Securities Exchange Act of 1934, Public Companies, International","or warrants to subscribe for equity securities, and any securities, other than debt securities, which are convertible into or exercisable or redeemable for equity securities of the same company or another company. If the equity securities available upon conversion, exercise or redemption are those of another company, the disclosure standards also apply to the other company.","Do the disclosure standards apply to another company if the equity securities available upon conversion, exercise or redemption are those of that company?","The disclosure standards apply to another company if the equity securities available upon conversion, exercise or redemption are those of that company."
20-F,Sept. 2021,SEC1852,"Securities Exchange Act of 1934, Public Companies, International",Standards (“IFRS”) issued by the International Accounting Standards Board (“IASB”) may omit the earliest of the three years of audited ﬁ nancial statements required by Item 8.A.2 if the issuer satis ﬁ es the conditions set forth in this Instruction G.  For ,What are the conditions that must be met in order to omit the earliest of the three years of audited financial statements required by Item 8.A.2?,The conditions that must be met in order to omit the earliest of the three years of audited financial statements required by Item 8.A.2 are that the issuer must (1) have been a foreign private issuer that reports in accordance with IFRS for the ﬁscal year immediately preceding the date of ﬁling of this Form 20-F; (2) have been a reporting company in good standing with the SEC for at least one year before the date of
20-F,Sept. 2021,SEC1852,"Securities Exchange Act of 1934, Public Companies, International",previously used (“Previous GAAP”) or accounting principles used only to prepare a U.S. GAAP reconciliation.  (e)  Operating and Financial Review and Prospects.  The issuer shall present the information required pursuant to Item 5.  The discussion should focus on the ﬁ nancial statements for the two most recent ﬁ nancial years prepared in accordance ,What is the most recent financial year that the issuer discussed in the operating and financial review and prospect?,The most recent financial year that the issuer discussed in the operating and financial review and prospect is the year prior to the most recent financial year.
20-F,Sept. 2021,SEC1852,"Securities Exchange Act of 1934, Public Companies, International","applications shall be addressed. Describe whether the purchase period may be extended or shortened, and the manner and duration of possible extensions or possible early closure or shortening of this period. Describe the manner in which the latter shall be made public. If the exact dates are not known when the document is ﬁ rst ",What is the process for extending or shortening the purchase period?,"The purchase period may be extended or shortened, and the manner and duration of possible extensions or possible early closure or shortening of this period."
20-F,Sept. 2021,SEC1852,"Securities Exchange Act of 1934, Public Companies, International","and unguaranteed, and secured and unsecured, indebtedness) as of a date no earlier than 60 days prior to the date of the document shall be provided showing the company’s capitalization on an actual basis and, if applicable, as adjusted to re ﬂ ect the sale of new securities being issued and the intended application of the net proceeds therefrom. ",Is the company's capitalization on an actual basis 60 days prior to the date of the document?,The company's capitalization on an actual basis 60 days prior to the date of the document is required to be provided.
20-F,Sept. 2021,SEC1852,"Securities Exchange Act of 1934, Public Companies, International","priority of such purposes should be given, as well as the amount and sources of other funds needed. If the 11company has no speci ﬁ c plans for the proceeds, it should discuss the principal reasons for the o ﬀ ering.",What purposes should take priority if a company is looking to raise funds through an offering?,The purposes that should take priority if a company is looking to raise funds through an offering are those that are most likely to generate revenue or profits.
20-F,Sept. 2021,SEC1852,"Securities Exchange Act of 1934, Public Companies, International","but not required, to list the risk factors in the order of their priority to the company. Among other things, such factors may include, for example: the nature of the business in which it is engaged or proposes to engage; factors relating to the countries in which it operates; the absence of pro ﬁ table operations in recent periods; the ﬁ nancial position of the ","What factors may be included in a company's listing of risk factors, in order of priority to the company?",The nature of the business in which the company is engaged or proposes to engage; factors relating to the countries in which the company operates; the absence of proﬁtable operations in recent periods; and the ﬁnancial position of the company.
20-F,Sept. 2021,SEC1852,"Securities Exchange Act of 1934, Public Companies, International","company; the possible absence of a liquid trading market for the company’s securities; reliance on the expertise of management; potential dilution; unusual competitive conditions; pending expiration of material patents, trademarks or contracts; or dependence on a limited number of customers or suppliers. The Risk Factors section is intended to be a summary of more detailed discussion contained elsewhere in the document. ",What risks are associated with investing in the company?,"The risks associated with investing in the company include the potential absence of a liquid trading market for the company’s securities, reliance on the expertise of management, potential dilution, unusual competitive conditions, pending expiration of material patents, trademarks or contracts, or dependence on a limited number of customers or suppliers."
20-F,Sept. 2021,SEC1852,"Securities Exchange Act of 1934, Public Companies, International","subsidiaries; acquisitions or dispositions of material assets other than in the ordinary course of business; any material changes in the mode of conducting the business; material changes in the types of products produced or services rendered; name changes; or the nature and results of any bankruptcy, receivership or similar proceedings with respect to the company or signi ﬁ cant subsidiaries.",What types of changes could trigger the filing of an 8-K form with the SEC?,"The filing of an 8-K form with the SEC could be triggered by changes such as subsidiaries; acquisitions or dispositions of material assets other than in the ordinary course of business; any material changes in the mode of conducting the business; material changes in the types of products produced or services rendered; name changes; or the nature and results of any bankruptcy, receivership or similar proceedings with respect to the company or signi ﬁ cant subsidiaries."
20-F,Sept. 2021,SEC1852,"Securities Exchange Act of 1934, Public Companies, International","including leased properties, and any major encumbrances thereon, including a description of the size and uses of the property; productive capacity and extent of utilization of the company’s facilities; how the assets are held; the products produced; and the location. Also describe any environmental issues that may a ﬀ ect the company’s utilization ",What are the environmental issues that may affect the company's utilization?,Any environmental issues that may affect the company's utilization of its assets.
20-F,Sept. 2021,SEC1852,"Securities Exchange Act of 1934, Public Companies, International","of the assets. With regard to any material plans to construct, expand or improve facilities, describe the nature of and reason for the plan, an estimate of the amount of expenditures including the amount of expenditures already paid, a description of the method of ﬁ nancing the activity, the estimated dates of start and completion of the activity, and ","What are the motivations behind any plans to construct, expand or improve facilities?","The motivations behind any plans to construct, expand or improve facilities are to improve the quality of the assets, to increase efficiency, and to reduce costs."
20-F,Sept. 2021,SEC1852,"Securities Exchange Act of 1934, Public Companies, International","  or 240.15d-19), you must disclose the material terms of the transaction as a result of which you ceased to be            a shell company and you should ﬁ le as an exhibit under Item 4(a) of the Exhibits to Form 20-F any contracts ","What are the ""material terms"" of the transaction that caused the company to cease being a shell company?","The ""material terms"" of the transaction that caused the company to cease being a shell company are the contracts that the company filed as an exhibit under Item 4(a) of the Exhibits to Form 20-F."
20-F,Sept. 2021,SEC1852,"Securities Exchange Act of 1934, Public Companies, International","of any legal or economic restrictions on the ability of subsidiaries to transfer funds to the company in the form of cash dividends, loans or advances and the impact such restrictions have had or are reasonably likely to have on the ability of the company to meet its cash obligations.","What restrictions does the company face in terms of transferring funds to subsidiaries in the form of cash dividends, loans or advances? What impact have these restrictions had on the company's ability to meet its cash obligations?","The company faces restrictions in terms of transferring funds to subsidiaries in the form of cash dividends, loans or advances. These restrictions have had an impact on the company's ability to meet its cash obligations."
20-F,Sept. 2021,SEC1852,"Securities Exchange Act of 1934, Public Companies, International","rate structure. The discussion also must include funding and treasury policies and objectives in terms of the manner in which treasury activities are controlled, the currencies in which cash and cash equivalents are held, the extent to which borrowings are at ﬁ xed rates, and the use of ﬁ nancial instruments for hedging purposes.",What discussion must take place in order to finalize a rate structure?,"The discussion must include funding and treasury policies and objectives in terms of the manner in which treasury activities are controlled, the currencies in which cash and cash equivalents are held, the extent to which borrowings are at ﬁ xed rates, and the use of ﬁ nancial instruments for hedging purposes."
20-F,Sept. 2021,SEC1852,"Securities Exchange Act of 1934, Public Companies, International","the information is material and reasonably available.  This information should include why each critical accounting estimate is subject to uncertainty and, to the extent the information is material and reasonably available, how much each estimate and/or assumption has changed over a relevant period, and the sensitivity of the reported amounts to the material methods, assumptions and estimates underlying its calculation.  ",What are the risks associated with critical accounting estimates?,"One risk associated with critical accounting estimates is that the estimates may be inaccurate. This could lead to financial statements that do not accurately reflect the true financial position of a company. Additionally, critical accounting estimates are often based on assumptions about future events. If these assumptions turn out to be incorrect, it could again lead to financial statements that are not accurate."
