Question,Answer
What is the market risk disclosure alternative that registrants are permitted to present comprehensive market risk disclosures?,Sensitivity analysis or value at risk disclosure alternatives.
Which disclosure alternative should registrants that choose the tabular presentation disclosure use?,Registrants that choose the tabular presentation disclosure alternative should use the disclosure alternative that is consistent with the requirements in Item 11(a) for market risk sensitive instruments.
What is the requirement for disclosures about market risk?,"All, rather than some, of the instruments, positions, or transactions should be included in disclosures about market risk."
What is the required information that registrants must provide?,The required information that registrants must provide is their financial information.
What sources of information are used in the discussion and analysis section of Form 20-F?,The sources of information used in the discussion and analysis section of Form 20-F include Item 11 of Form 20-F and information that would be provided under Item 11 of Form 20-F.
What protections are afforded to issuers under the Securities Exchange Act of 1934?,"The Securities Exchange Act of 1934 provides protections for issuers with respect to all types of issuers and transactions. Specifically, the act provides for statutory safe harbors with respect to information provided by the issuer, a person acting on behalf of the issuer, an outside reviewer retained by the issuer making a statement on behalf of the issuer, or an underwriter."
What is the meaningful cautionary statements prong of the statutory?,The meaningful cautionary statements prong of the statutory is a requirement that companies provide meaningful cautionary statements in their forward-looking statements in order to qualify for the safe harbor protections.
What is a Columbia?,A financial institution that accepts demand deposits or deposits that the depositor may withdraw by check or similar means for payment to third parties or others and is engaged in the business of making commercial loans.
What is the average interest rate for 19x2 Long-term Debt Fixed Rate?,The average interest rate for 19x2 Long-term Debt Fixed Rate is X.X%.
What is the purpose of a release provision in a contract?,"A release provision in a contract allows for the release of assets under certain circumstances, such as when equivalent funds are deposited, when the property is no longer required in the business, or when the property is taken by eminent domain."
Can a company register one class of securities without providing information about another class of securities?,"Yes, a company can register one class of securities without providing information about another class of securities, as long as all of it will be retired, and the company has taken appropriate steps to ensure that retirement will be completed on or before the time they deliver the securities they are registering."
"What is meant by ""the allocation of the offering price between the two securities may have the effect of offering the debt""?",The allocation of the offering price between the two securities may result in the debt being offered at a price that is lower than the market value.
"What happens if you don't pay principal, interest, or any sinking or amortization installment on your securities?","The consequences of any failure to pay principal, interest, or any sinking or amortization installment are spelled out in the text."
What are material terms of the warrants or rights?,"The material terms of the warrants or rights include the amount of securities called for by the warrants or rights, the period during and the price at which the warrants or rights are exercisable, the amount of warrants or rights outstanding, and provisions for changes or adjustments in the exercise price."
What rights do holders of American depositary receipts have to inspect the books of the depositary?,"According to the text, holders of American depositary receipts have the right to inspect the books of the depositary."
"What is the policy on fees and charges for depositing or substituting shares, receiving or distributing dividends, and selling or exercising rights?","The policy on fees and charges for depositing or substituting shares, receiving or distributing dividends, and selling or exercising rights is that the fees and charges must be indicated, and they are paid to the recipient of the services."
What is the default amount and total arrearage if the indebtedness falls under paragraph A.1?,"If the default falls under paragraph A.1 above, the amount of the default and the total arrearage on the date you file this report will be stated."
"What is the title of the class of preferred stock mentioned in the text, and what is the nature of the preference?","The title of the class of preferred stock mentioned in the text is Class A Preferred Stock, and the nature of the preference is that it ranks prior to any other class of registered securities."
What are the consequences for failing to provide the required information in a subsequent Form 20-F annual report?,"If you do not provide the required information in a subsequent Form 20-F annual report, you may be subject to penalties under the Exchange Act."
What is the issuer's account?,"The issuer's account is the account that is used to track the amount of securities that have been issued. This account is used to track the total amount of securities that have been issued, the total amount of securities that have been sold, and the total amount of securities that have been repurchased."
"What is the minimum amount of an issuer's total offering proceeds that can be used for purposes other than facilities, machinery, equipment, real estate, business acquisition, repayment of indebtedness, working capital, and temporary investments?","The minimum amount of an issuer's total offering proceeds that can be used for purposes other than facilities, machinery, equipment, real estate, business acquisition, repayment of indebtedness, working capital, and temporary investments is 5%."
What does an accelerated filer have to do in order to be in compliance with the SEC?,An accelerated filer have to ﬁ le its annual report on Form 10-K within 60 days after the end of its ﬁ scal year.
"What does the term ""national securities exchange registered pursuant to section 6(a) of the Exchange Act (15 U.S.C. 78f(a))"" mean?",A national securities exchange registered pursuant to section 6(a) of the Exchange Act is an exchange that has been approved by the US Securities and Exchange Commission.
What is the liability of a designated audit committee member?,The liability of a designated audit committee member is no greater than the liability of a member of the audit committee and board of directors in the absence of such designation or identification.
What body of generally accepted accounting principles is used by a foreign private issuer in its primary financial statements?,The primary financial statements of a foreign private issuer generally use the body of generally accepted accounting principles that is used by that issuer in its home country.
What is the requirement for a registrant who posts its code of ethics on its website?,The registrant must keep the code of ethics accessible on its website for as long as the registrant is required to maintain the code.
What is the minimum amount of time that registrants must make the required information available on their website?,a 12-month period
What is the issuer's plan or program for each of the following: (i) The date each plan or program was announced; (ii) The dollar amount (or share or unit amount) approved; (iii) The expiration date (,"The issuer's plan or program for each of the following is as follows: (i) The date each plan or program was announced; (ii) The dollar amount (or share or unit amount) approved; (iii) The expiration date (if any) of each plan or program; (iv) Each plan or program that has expired during the period covered by the tables in Form F-SRs; and (v) Each plan or program the issuer has determined to terminate prior to expiration,"
Did a board or audit committee approve the decision to change accountants?,"Yes, the decision to change accountants was approved by either the board of directors or an audit committee."
What is the procedure for resolving disagreements between the registrant and the accounting firm?,"The disagreements are to be reported in response to the Item, which include those resolved to the former accountant's satisfaction and those not resolved to the former accountant's satisfaction."
"What is the definition of ""disagreement"" for purposes of this Item?",A disagreement is a difference of opinion.
What is the name of the act that requires mine safety violations to be disclosed in annual reports?,The Dodd-Frank Wall Street Reform and Consumer Protection Act
How many legal actions were pending before the Federal Mine Safety and Health Review Commission as of the last day of the period covered by the report?,The number of legal actions pending before the Federal Mine Safety and Health Review Commission as of the last day of the period covered by the report is not specified in the text.
What is the aggregate number of legal actions resolved during the reporting period?,The aggregate number of legal actions resolved during the reporting period is the total number of legal actions that were pending before the Federal Mine Safety and Health Review Commission as of the last day of the time period covered by the report.
What are the different types of complaints that the Occupational Safety and Health Review Commission handles?,"The types of complaints that the Occupational Safety and Health Review Commission handles are those relating to unsafe working conditions, proposed penalties, complaints for compensation, and complaints of discharge, discrimination, or interference."
What are the requirements for exhibits under Instruction 19?,The requirements for exhibits under Instruction 19 are that they must be related to the subject matter of the report and must be filed with the report.
How does a registrant show that it is not owned or controlled by a foreign governmental entity?,A registrant must submit documentation that establishes that the registrant is not owned or controlled by a governmental entity in the foreign jurisdiction.
What processes does the registrant have in place to manage and identify risks from cybersecurity threats associated with its use of any third-party service provider?,The registrant has processes in place to manage and identify risks from cybersecurity threats associated with its use of any third-party service provider.
"What is the definition of ""board of directors"" as used in paragraph (c) of this Item?","The definition of ""board of directors"" as used in paragraph (c) of this Item is the supervisory or nonmanagement board."
What are the schedules that must be furnished if applicable to the registrant?,"210.12-04, 210.12-09, 210.12-15, 210.12-16, 210.12-17, 210.12-18, 210.12-28, and 210.12-29."
"What is the impact of disclosing ""accounting principles other than those generally accepted in the United States or IFRS as issued by the IASB"" on financial statements?","Disclosing accounting principles other than those generally accepted in the United States or IFRS as issued by the IASB can impact financial statements in a number of ways. For example, it can affect the comparability of financial statements between different companies, as well as the reliability and usefulness of the information presented."
How should net income be reconciled in a tabular format?,Net income should be reconciled in a tabular format that is similar to the one below.
What is the purpose of combining income statement items on the face of the income statement?,The purpose of combining income statement items on the face of the income statement is to show the reconciliations of net income for the earliest of the three years.
What formatting options are available for presenting the differences between a line item's balance sheet amount and its amount determined using U.S. GAAP and Regulation S-X?,"The formatting options for presenting the differences between a line item's balance sheet amount and its amount determined using U.S. GAAP and Regulation S-X are parentheses, columns, a reconciliation of the equity section, a restated balance sheet, or any similar format that clearly presents the differences in the amounts."
What are the two ways in which companies can comply with generally accepted accounting principles in the United States?,"They can either comply with International Accounting Standard No. 7, as amended in October 1992, or they can furnish in a note to the financial statements a quantified description of the material differences between cash and cash equivalents."
What is the name for the type of accounting used in the United States?,"U.S. generally accepted accounting principles, or GAAP."
"What are the three disclosures specified by paragraphs (c)(2)(i), (c)(2)(ii), and (c)(2)(iii) of Item 8 that companies may omit if they use the historical cost/constant currency approach","The three disclosures specified by paragraphs (c)(2)(i), (c)(2)(ii), and (c)(2)(iii) of Item 8 that companies may omit if they use the historical cost/constant currency approach are:

1) The effect of changes in foreign exchange rates on the company's financial statements;

2) The company's policy with respect to hedging against changes in foreign exchange rates; and

3) The impact of changes in foreign"
What are the conditions specified in Item 210.305 of the CFR that allow for the omission of certain disclosures in financial statements for a business that is being acquired?,"The conditions specified in Item 210.305 of the CFR that allow for the omission of certain disclosures in financial statements for a business that is being acquired are that the business is not required to file reports with the SEC, that the business does not have any material subsidiaries, and that the business is not subject to the requirements of Regulation S-X."
What is the difference between electronic and paper filings when it comes to foreign language documents?,"When submitting a foreign language document along with an English translation or summary, electronic filings must comply with Regulation S-T Rule 306(b), while paper filings must comply with Exchange Act Rule 12b-12(d)(4)."
What is the page number in the sequential numbering system where each exhibit can be found?,The page number in the sequential numbering system where each exhibit can be found is the exhibit index.
What is the procedure for redacting personal information from articles of incorporation or association?,"According to the text, registrants are not required to undertake or provide a materiality or competitive harm analysis of the redacted information to the Commission upon request."
What type of securities can be registered using an instrument relating to a class of securities?,"A class of securities can include stocks, bonds, and other investment instruments."
"What does the term ""securities"" refer to in the context of the text?","The term ""securities"" refers to the securities that are to be or being registered, offered or sold."
What are the reporting requirements for registrants under Section 13(a) or 15(d) of the Exchange Act?,The reporting requirements for registrants under Section 13(a) or 15(d) of the Exchange Act are that they must file an annual report with the SEC.
What does a newly reporting registrant include?,"A newly reporting registrant includes (i) a registrant that is filing its first registration statement under the Securities Act or the Exchange Act, and (ii) a registrant that was a public."
"What is an example of a contract that would be categorized as ""substantially dependent?""","A contract that would be categorized as ""substantially dependent"" would be a continuing contract to sell the major part of your products or services or to purchase the major part of your requirement of goods, services or raw materials."
What is an example of a contract that would not need to be filed under this regulation?,An agreement with managers of stores in a chain or similar organization would not need to be filed under this regulation.
What is the name of the immediate parent company of a regulated subsidiary engaging in the same line of business?,The name of the immediate parent company of a regulated subsidiary engaging in the same line of business is omitted.
What is the difference between an annual report and a registration statement?,A registration statement is a legal document that companies must file with the Securities and Exchange Commission (SEC) in order to sell securities to the public. An annual report is a financial report that a company must file with the SEC each year.
"Based on the given information, who is responsible for the accuracy of the statements made in the annual report?",The certifying individual is responsible for the accuracy of the statements made in the annual report.
What is the name of the form that registrants must use to disclose mine safety information?,The form that registrants must use to disclose mine safety information is Form 20-F.
What must an exchange or national securities association registered under the Exchange Act file as an exhibit to its annual report?,An exchange or national securities association registered under the Exchange Act must file an exhibit to its annual report on Form 20-F.
How many different Form 24F-2s are needed if an issuer has 4 classes with different fiscal year ends and wants to calculate registration fees on a series-by-series basis?,4
What is the deadline for filing a Form 25 to have a class of securities removed from listing on an exchange?,The deadline for filing a Form 25 to have a class of securities removed from listing on an exchange is 10 days after filing the form.
What is the issuer's duty with regard to filing reports under Section 13(a) of the Exchange Act?,The issuer's duty is to file any reports under Section 13(a) of the Exchange Act as a result of the withdrawal of registration.
What reports is an issuer required to file if their reporting responsibilities are suspended?,An issuer required to file any reports that would be required under Section 15(d) of the Exchange Act but for the fact that the reporting responsibilities under Section 13(a) of the Exchange Act are suspended under Rule 12d2-2(d)(5).
What berth does the SEC demand registered companies to fill in?,"The SEC demands registered companies to fill in a form that discloses the holdings of directors, officers, and beneficial owners of the company."
How can I file Form S-T if I have obtained a hardship exception?,"The filing person may file the Form in paper if they have obtained a hardship exception under Regulation S-T Rule 202 (17 CFR 232.202). For assistance with technical questions about EDGAR or to request an access code, call the EDGAR Filer Support Office at (202) 942-8900. For assistance with questions about the EDGAR rules, call the Office of EDGAR and Information Analysis at (202) 942-2940."
What type of information is required to be disclosed by persons reporting their beneficial ownership of securities of a registered closed-end investment company?,Those persons must disclose information regarding their beneficial ownership of any class of securities (equity or debt) of the registered closed-end investment company.
What circumstance would cause a person to be deemed the beneficial owner of securities?,"That person has or shares the opportunity, directly or indirectly, to profit or share in any profit derived from a transaction in the securities."
What is a pecuniary interest?,A pecuniary interest is a financial interest in something.
What is the purpose of Rule 16a-1(a)(2)(ii)(B)?,"The purpose of Rule 16a-1(a)(2)(ii)(B) is to allow the reporting person to choose to either report the number of securities representing the reporting person's proportionate interest in securities beneficially owned by that entity, or to report the entire amount of the entity's interest."
How do I submit a signature page if I am filing in paper?,"You should submit any attached listing of names or signatures on another Form 3, copy of Form 3 or separate page of 8 ½ by 11 inch white paper. You should indicate the number of pages comprising the report (Form plus attachments) at the bottom of each report page (e.g., 1 of 3, 2 of 3, 3 of 3). You should also include the name of the"
"How do ""puts"" and ""calls"" work in relation to Table II?","The ""puts"" and ""calls"" reported in Table II include both separate puts and calls, as well as any combination of the two. In other words, Table II includes data on options that represent a right to buy, a right to sell, an obligation to buy, or an obligation to sell the equity securities subject to the option."
How many pages must the report include?,The report must have at least three pages.
What designation is placed next to the name of a exhibit filed as a confirming electronic copy under Regulation S-T Rule 202(d)?,"""CE"" (confirming exhibit)"
Does the confirming statement need to indicate the duration of the authorization?,"Yes, the confirming statement needs to indicate the duration of the authorization."
What information is required to be provided in order to amend a line or lines in Table I or Table II of a Form?,"Complete line or lines being amended, as amended, together with one or more footnotes, as necessary, to explain the amendment of the line or lines."
What is the reporting person's cation number?,The cation number of the reporting person is voluntary.
What is the penalty for failing to disclose required information?,The penalty for failing to disclose the required information is civil or criminal action against the person involved for violations of the Federal securities laws and rules.
What is the deemed execution date for a transaction resulting in an acquisition or disposition of a security?,The deemed execution date for a transaction resulting in an acquisition or disposition of a security is the date on which the acquisition or disposition is deemed to have occurred.
What is an indirect beneficial owner of securities?,"An indirect beneficial owner of securities is a person with a pecuniary interest, by reason of any contract, understanding or relationship (including a family relationship or arrangement), in securities held in the name of another person."
"If a reporting person chooses to report the entire amount of an entity's interest, what Rule must that person follow?",The reporting person must follow Rule 16a-1(a)(2)(ii)(B) in order to report the entire amount of an entity's interest.
What is required for joint and group filings?,"All required information for each beneficial owner, and such filings must be signed by each beneficial owner, or on behalf of such owner by an authorized person."
What is the purpose of indicating the number of pages comprising the report at the bottom of each page?,The purpose of indicating the number of pages comprising the report at the bottom of each page is to provide an easy way for the reader to keep track of their progress reading the report.
What is the difference between a derivative security and an underlying security?,A derivative security is a security with a value that is based on an underlying security. The underlying security is the security on which the derivative security's value is based.
What is the purpose of Table II in the text?,The purpose of Table II in the text is to report the number of puts and calls for each equity security.
What type of information is typically included in a column 8 report for a purchase or sale of a derivative security?,The purchase or sale price of the derivative security
How must information about securities that are purchased or sold as a unit be reported?,Information about securities that are purchased or sold as a unit must be reported in terms of the purchase or sale price per unit and other required information about the unit securities.
What is the aggregate amount of audit-related fees that the principal accountant billed in each of the last two fiscal years?,"The aggregate amount of audit-related fees that the principal accountant billed in each of the last two fiscal years was $2,000."
What is the total number of violations of mandatory health or safety standards that could significantly and substantially contribute to a coal or other mine?,12
Why is it voluntary to furnish the number of the reporting person if such person is an entity?,"The Commission needs this information to distinguish reporting persons with similar names and to facilitate the prompt processing of the Form. By making it voluntary, they are giving people the option to not provide this information if they do not want to."
What happens if you don't disclose the required information?,You may be subject to civil or criminal action for violating the Federal securities laws and rules.
What are four types of transactions that are exempt from Section 16(b) of the Act?,"Any transaction exempt from Section 16(b) pursuant to $240.16b-3(d), $240.16b-3(e), or $240.16b-3(f); any exercise or conversion of derivative securities exempt under either $240.16b-3 or $240.16b-6(b); any transaction exempt from Section 16(b) of the Act pursuant to $240.16b-3(c), which is exempt from Section 16"
What is the deemed execution date for a transaction that results in the acquisition or disposition of a security?,The deemed execution date for a transaction that results in the acquisition or disposition of a security is the date that the transaction is entered into.
"If a person has a pecuniary interest in securities held in the name of another person, does that person have to report the securities as indirectly owned?","Yes, that person is an indirect beneficial owner of the securities."
What is the IRS identification number?,The IRS identification number is a unique number assigned to each entity that files taxes with the IRS. This number is used to identify the entity on tax returns and other documents.
What is the appropriate format for submitting a listing of names or signatures?,"The appropriate format for submitting a listing of names or signatures is on a Form 5, a copy of Form 5, or a separate page of 8 1/2 by 11 inch white paper."
What does the text represent?,"The text represents the different types of options that can be reported in Table II. These include puts, calls, spreads, and straddles."
"If an exhibit is a separate document, does it need to be sequentially numbered?",Yes.
"If there is more than one exhibit, then what should be used to number the exhibits?","If there is more than one exhibit, then the exhibits should be numbered using numerical subparts."
Was the Form signed by the individual or by another person on behalf of the individual?,It is not stated in the text.
"What is the ""D"" code in Derivative Securities Codes?",Disposition to the issuer of issuer equity securities pursuant to Rule 16b-3(e)
What is Rule 10b5-1(c) and how does it relate to transactions?,"Rule 10b5-1(c) is a regulation that requires people to disclose whether or not a transaction was made pursuant to a contract, instruction, or written plan. This is so that people can't claim they didn't know about the transaction if it is later revealed to be illegal."
What types of documents are exempt from the Exchange Act Section 13(a) or 15(d) reporting requirements for foreign offerings?,Offering circulars and prospectuses that relate entirely to securities offerings outside the United States.
What types of documents may include an English summary instead of a full English translation?,Documents that may include an English summary instead of a full English translation include reports disclosing unconsolidated financial information about a parent company.
How can an issuer disclose new material information in an offeringcircular or prospectus if they have not previously filed a Form 6-K or Form 20-F with the Commission?,"The issuer may submit an electronic version of the foreign offering circular or prospectus that includes the new material information, under cover of Form 6-K."
How must an issuer submit a foreign language document?,The issuer may submit the unabridged foreign language report or other document along with the English summary or English translation as permitted by Regulation S-T Rule 306(b) (17 CFR 232.306(b)) for electronic filings and Exchange Act Rule 12b-12(d)(4) (17 CFR 240.12b-12(d)(4)) for paper filings.
Where may civil process papers be served for a cause of action subject to the jurisdiction of the United States?,civil process papers may be served in any appropriate court in any place subject to the jurisdiction of the United States.
What is the last address of record filed by the author with the Commission?,The last address of record filed by the author with the Commission is the address where registered mail will be sent.
What does a certificate of the Secretary of the Commission or of such other person constitute evidence of?,"That the process, pleadings, or other papers were received by the Commission and that a copy was forwarded to the person at their last address of record."
What is the maximum number of shares that can be sold in a Tier 2 offering?,There is no maximum number of shares that can be sold in a Tier 2 offering.
What is the difference between a cal year and a fiscal year?,"A cal year is a year that is based on the Gregorian calendar, while a fiscal year is a year that is based on a company's financial activities."
What are the general requirements for registration on any form?,"SDBA-1 requires that the registration statement contain certain information about the issuer, the securities being offered, and the offering itself. In addition, the registration statement must be filed with the SEC on the proper form and must be amended as required by SEC rules."
Why must a copy of the registration statement be filed with the Commission and with each exchange?,A copy of the registration statement must be filed with the Commission and with each exchange so that potential investors have access to the same information and so that the information is available in multiple locations.
Where may a description be incorporated by reference if it is included in a form of prospectus or an offering circular?,"If a description is included in a form of prospectus or an offering circular, it may be incorporated by reference in answer to this item."
"If the securities are to be registered on a national securities exchange, must the description of the securities have been previously filed with the exchange?","Yes, the description of the securities must have been previously filed with the exchange in order for the securities to be registered on a national securities exchange."
What Act is the registrant registered with?,The registrant is registered with the Act.
What is the principal place of business for the corporation mentioned in the text?,The principal place of business for the corporation mentioned in the text is (Address in full).
What is the significance of registered mail in this context?,Registered mail is an important means of communication between businesses and individuals. It is a secure and reliable way to send and receive important communications.
What is the last address of record filed by the corporation with the Commission?,"The last address of record filed by the corporation with the Commission is the address to which the copy of the process, pleadings, or other papers was forwarded."
What is the name of the corporation?,(Name of corporation)
What is the form of acknowledgment suggested below?,The form of acknowledgment suggested below is a free and voluntary act.
Is the president and secretary of the corporation the same person?,No
What legal form will the corporation be taking?,The corporation will be taking the form prescribed by or acceptable to the United States Securities and Exchange Commission.
What is the name of the corporation's agent?,The corporation's agent is the person upon whom process pleadings and other papers in any civil suit or action brought against the corporation may be served.
How does one withdraw from registration as a broker-dealer under the Securities Exchange Act of 1934?,"One withdraws from registration as a broker-dealer under the Securities Exchange Act of 1934 by either cancelling or revoking the registration, or by sending a notice to the Commission to withdraw from the registration."
What is the effective date of the new service of process rule?,"The effective date of the new service of process rule is December 21, 2018."
"What is the meaning of ""service upon it"" in the context of the text?","""Service upon it"" means that the Commission has provided the corporation with the process, pleadings, or other papers, and that the corporation has been given notice of this."
Who is the Secretary of the corporation?,The Secretary of the corporation is the person who is responsible for maintaining the records of the corporation and ensuring that the minutes of the meetings of the Board of Directors are accurate.
What is the form of affidavit suggested above?,The form of affidavit suggested above is an affidavit of corporate resolution.
What happens if a company tries to avoid service of process by not filing an updated address with the Commission?,"If a company does not file an updated address with the Commission, any registered mail sent to the company will be considered as valid and binding as if the company had received personal service."
What is the evidence of service upon a party who does not appear before the Commission?,"The certificate of the Secretary of the Commission or of such other person reciting that said process, pleadings or other papers were received by the Commission and that a copy thereof was forwarded to it at the last address of record filed by it with the Commission shall constitute evidence of such service upon it."
What conditions are prescribed in the Securities Act of 1934 for a dissolution of partnership?,"The conditions prescribed in the Securities Act of 1934 for a dissolution of partnership are that the partners agree to irrevocably power of attorney, consent, stipulation, and agreement."
What data was used to determine the sample size of the assets?,The sample size of the assets was determined by the accuracy of information or data about the assets provided by the securitizer or originator of the assets.
What type of due diligence services were conducted by the person executing the form?,"The services conducted were compliance review, asset originator review, and any other type of review required by law."
What information and statements are contained in Item 4 of the Form?,Item 4 of the Form contains information and statements about the due diligence conducted by the person identified in Item 1 of the Form.
"What is the filing deadline for information if the deadline falls on a Saturday, Sunday or holiday?",The filing deadline for information is the first business day thereafter.
How should items that are not required to be answered in a particular report be handled?,They may be omitted and no reference thereto need be made in the report.
"What is a partial withdrawal, and when is it necessary?","A partial withdrawal is when an adviser withdraws from some, but not all, of the states with which they are registered. This is typically necessary when an adviser is switching from state registration to SEC registration (or vice versa)."
How should the names of individuals be listed on Schedule W1?,The names of individuals should be listed in full on Schedule W1.
"If you are filling out Form 1023 for an organization or association, who must sign it?",The Form must be signed by someone who participates in the directing or managing of its affairs.
What happens if a registrant submits a Form ADV-W?,The Commission will maintain files of the information on Form ADV-W.
What is the consequence of checking the box indicated in the text?,The consequence of checking the box is that the person will only have to complete the Status Section and the Execution Section.
"What must you disclose on Schedule W2 if you answered yes to Items 3, 4, or 6 on Form ADV-W?",The nature and amount of your assets and liabilities and your net worth as of the last day of the month prior to the filing of Form ADV-W.
Is it a violation of law if the adviser's books and records are not preserved and available for inspection?,"Yes, it is a violation of law if the adviser's books and records are not preserved and available for inspection."
What is the deadline for reporting information to the SEC after the end of each calendar quarter for an alternative trading system?,The deadline for reporting information to the SEC after the end of each calendar quarter for an alternative trading system is 10 days.
What is the main address of the alternative trading system?,The main address of the alternative trading system is given in Items 1F and 1G.
What is the purpose of Exhibit 3?,"Exhibit 3 is used to mark changes to answers in Part I, II, and III of the document."
What services and functionalities are not applicable to Part III of the text?,There are no services or functionalities that are not applicable to Part III of the text.
What are the terms and conditions for entering orders or trading interest into the ATS?,The terms and conditions are required to be identified in Item 5(c).
How can a limit order lose execution priority to a later arriving order at the same price?,A limit order could lose execution priority to a later arriving order at the same price if the limit order is not at the best ask price or better.
What is an order's rank and price upon order entry?,An order's rank and price upon entry is the order's position in the queue and the price that is set for the order.
What is the purpose of a smart order router?,"The purpose of a smart order router is to automatically send messages to subscribers or trading centers in response to conditional orders or IOIs. It can also result in executions in the ATS under certain conditions, such as response time parameters, interaction, and matching."
What are the different types of orders and trading interest that are included in each segmented category?,"There are four different types of orders that can be placed in a segmented category: market orders, limit orders, stop orders, and stop-limit orders. Each type of order has different rules and conditions that must be met in order for the trade to be executed."
What services and products are offered by the Broker-Dealer Operator or its Affiliates?,"The services and products offered by the Broker-Dealer Operator or its Affiliates include a summary of the bundled services and products, the structure of the fee, variables that impact the fee, differentiation among types of Subscribers, and range of fees."
What is the website where information about the NMS Stock ATS is available?,"The website where information about the NMS Stock ATS is available is in Part I, Item 6 of this form."
Where can I find the information requested under Exhibit 5?,"The information can be found on the website provided in Part I, Item 6."
What is the filing status of this Form ATS-N?,"The filing status of this Form ATS-N is current, true, and complete."
What is the XML schema for Rule 304 in EDGAR?,The latest version of the XML schema for Rule 304 in EDGAR is specified in the EDGAR Filer Manual.
What is the deadline for NMS stock ATSs to file a Form ATS-N?,"The deadline for NMS stock ATSs to file a Form ATS-N is February 8, 2019."
What information is a Form ATS-N Amendment required to include?,A Form ATS-N Amendment is required to include any information that has become inaccurate or incomplete for any reason and was not previously required to be reported to the Commission.
What type of filing may an NMS Stock ATS withdraw an initial Form ATS-N or an Amendment before the end of the applicable Commission review period?,An NMS Stock ATS may withdraw an initial Form ATS-N or an Amendment before the end of the applicable Commission review period.
What information does Form ATS-N provide to the public?,"Form ATS-N provides the public with information to, among other things, help them make informed decisions about whether to participate on the NMS Stock ATS."
What is the deadline for filing an Updating Amendment to Form ATS-N?,30 calendar days after the end of each calendar quarter
How often does an NMS Stock ATS need to amend its filed Form ATS-N?,"During the Commission review period of an initial Form ATS-N filing, an NMS Stock ATS that is operating as of January 7, 2019 shall amend its filed Form ATS-N pursuant to these requirements, and an NMS Stock ATS that was not operating as of January 7, 2019 shall amend its filed Form ATS-N pursuant to the requirements for Updating and Correcting Amendments. During the Commission review period of an initial Form ATS-N filing, an NMS"
What is the process for amending Form ATS-N?,"To amend Form ATS-N, the NMS Stock ATS will spend approximately 9 hours preparing each amendment."
What is a subscriber in relation to an alternative trading system?,"A person who pays a fee to be able to access an alternative trading system in order to trade securities, or to submit, disseminate, or display orders on such alternative trading system."
What is the method by which SEC or self-regulatory organization may give notice to the alternative trading system's contact employee?,SEC or self-regulatory organization may give notice to the alternative trading system's contact employee by registered or certified mail or confirmed telegram.
What is the name and CRD number of the applicant's appropriate DRP (BD)?,The name and CRD number of the applicant's appropriate DRP (BD) is not provided in the text.
"What is the percentage of voting rights or ownership interest that a person must have in order to be considered a ""affiliated person"" under SEC Rule 12b-2?","A person must have at least 25% voting rights or ownership interest in order to be considered an ""affiliated person"" under SEC Rule 12b-2."
What is the effective date of the change for each arrangement or agreement reported in this section?,The effective date of the change for each arrangement or agreement reported in this section is the date that the arrangement or agreement was changed.
"1. Have you ever found the applicant or a control affiliate to have made a false statement or omission, or been dishonest, unfair, or unethical?
2. Have you ever found the applicant or a control affiliate to have been involved in","1. No.
2. No."
"1. Has the applicant or a control affiliate been found to have made a false statement or omission?
2. Has the applicant or a control affiliate been found to have been involved in a violation of its rules?","Based on the text, it can be inferred that:

1. The applicant or a control affiliate has been found to have made a false statement or omission.

2. The applicant or a control affiliate has been found to have been involved in a violation of its rules."
What is the consequence of providing inaccurate or outdated information to the Security Futures Product Broker-Dealer?,The consequences of providing inaccurate or outdated information to the Security Futures Product Broker-Dealer can include civil and criminal penalties.
What is the Central Registration Depository (CRD)?,"The Central Registration Depository (CRD) is a file-sharing system for Self-Regulatory Organizations (SROs). It allows for the electronic filing of Form BDW, and may also require additional paper filings in some jurisdictions."
What is the requirement for retaining a paper copy of Form BDW?,The paper copy of Form BDW must be retained by the broker-dealer filing the Form BDW and be made available for inspection upon a regulatory request.
What is the deadline for issuers to post their annual reports on the Commission's website?,The deadline is 120 days after the end of each fiscal year.
What is the business plan of a development stage company that has indicated that its plan is to engage in a merger or acquisition with an unidentified company or companies?,The business plan of a development stage company that has indicated that its plan is to engage in a merger or acquisition with an unidentified company or companies is to engage in a merger or acquisition with an unidentified company or companies.
What are the terms of the offering?,The terms of the offering are the merits and risks involved.
What is the new offering deadline?,The new offering deadline is the date by which the company must provide notice about the new offering deadline.
What are the categories of investors that are considered accredited investors?,The categories of investors that are considered accredited investors are set forth in Rule 501(a) of Regulation D.
